Device Name,Series,CPU,Flash (kBytes),SRAM (kBytes),EEPROM (Bytes)
ATSAMD21E15L,SAM D21,Cortex-M0+,32,4,
ATSAMD21E16L,SAM D21,Cortex-M0+,64,8,
ATSAMD21G16L,SAM D21,Cortex-M0+,64,8,
ATSAMD21E15A,SAM D21,Cortex-M0+,32,4,
ATSAMD21E15B,SAM D21,Cortex-M0+,32,4,
ATSAMD21E15L,SAM D21,Cortex-M0+,32,4,
ATSAMD21E16A,SAM D21,Cortex-M0+,64,8,
ATSAMD21E16B,SAM D21,Cortex-M0+,64,8,
ATSAMD21E16L,SAM D21,Cortex-M0+,64,8,
ATSAMD21E17A,SAM D21,Cortex-M0+,128,16,
ATSAMD21E18A,SAM D21,Cortex-M0+,256,32,
ATSAMD21G15A,SAM D21,Cortex-M0+,32,4,
ATSAMD21G15B,SAM D21,Cortex-M0+,32,4,
ATSAMD21G15L,SAM D21,Cortex-M0+,32,4,
ATSAMD21G16A,SAM D21,Cortex-M0+,64,8,
ATSAMD21G16B,SAM D21,Cortex-M0+,64,8,
ATSAMD21G16L,SAM D21,Cortex-M0+,64,8,
ATSAMD21G17A,SAM D21,Cortex-M0+,128,16,
ATSAMD21G18A,SAM D21,Cortex-M0+,256,32,
ATSAMD21J15A,SAM D21,Cortex-M0+,32,4,
ATSAMD21J15B,SAM D21,Cortex-M0+,32,4,
ATSAMD21J16A,SAM D21,Cortex-M0+,64,8,
ATSAMD21J16B,SAM D21,Cortex-M0+,64,8,
ATSAMD21J17A,SAM D21,Cortex-M0+,128,16,
ATSAMD21J18A,SAM D21,Cortex-M0+,256,32,
